VarX,VarY,clnum
0.72496,0.86754,1
0.77695,0.85102,1
0.6981,0.78742,1
0.79362,0.86982,1
0.63949,0.8454,1
0.73247,0.90097,1
0.88295,0.74442,1
0.69267,0.8568,1
0.78247,0.80904,1
0.71115,0.77613,1
0.73412,0.8966,1
0.72837,0.81879,1
0.79568,0.84847,1
0.72917,0.79174,1
0.64961,0.81004,1
0.69365,0.86168,1
0.83989,0.88796,1
0.81876,0.82175,1
0.76968,0.80226,1
0.84426,0.95456,1
0.7427,0.7608,1
0.82025,0.93817,1
0.66832,0.83779,1
0.69804,0.97155,1
0.75149,0.87443,1
0.70266,0.823,1
0.75134,0.81583,1
0.72654,0.77691,1
0.71166,0.85151,1
0.74097,0.87534,1
0.73543,0.85616,1
0.7076,0.88583,1
0.75629,0.95983,1
0.6993,0.8612,1
0.76744,0.93651,1
0.75517,0.82296,1
0.85298,0.91612,1
0.74992,0.8654,1
0.82572,0.85679,1
0.8123,0.89571,1
0.76761,0.88941,1
0.66164,0.88574,1
0.68474,0.79123,1
0.82159,0.86379,1
0.77533,0.78503,1
0.66602,0.91264,1
0.74781,0.81893,1
0.7451,0.8373,1
0.73076,0.92797,1
0.63916,0.91623,1
0.84513,0.92633,1
0.75821,0.88618,1
0.77256,0.81652,1
0.68453,0.86512,1
0.76833,0.84168,1
0.72603,0.79561,1
0.70446,0.87269,1
0.76388,0.92785,1
0.72019,0.96066,1
0.7135,0.77291,1
0.77587,0.93229,1
0.8025,0.9498,1
0.74753,0.78406,1
0.76492,0.7613,1
0.68268,0.90203,1
0.70579,0.90423,1
0.70105,0.85062,1
0.75795,0.92556,1
0.8282,0.8252,1
0.72554,0.93062,1
0.72642,0.91643,1
0.7128,0.82729,1
0.81279,0.81933,1
0.70498,0.91886,1
0.7697,0.99001,1
0.74734,0.85915,1
0.71511,0.93595,1
0.72786,0.88913,1
0.77591,0.77773,1
0.92247,0.83404,1
0.71738,0.93464,1
0.70776,0.95649,1
0.78671,0.80756,1
0.7812,0.86723,1
0.81291,0.82705,1
0.83359,0.75409,1
0.75808,0.80832,1
0.75075,0.83631,1
0.7655,0.85259,1
0.74884,0.88472,1
0.79318,0.96649,1
0.77241,0.85872,1
0.77759,0.8845,1
0.85836,0.79532,1
0.86967,0.73605,1
0.76025,0.79492,1
0.75931,0.8776,1
0.66305,0.878,1
0.77124,0.84024,1
0.79101,0.92438,1
0.59076,0.17968,2
0.48143,0.23087,2
0.59238,-0.079105,2
0.52852,0.25078,2
0.25375,0.14738,2
0.33832,0.14264,2
0.57162,0.061999,2
0.54513,0.0794,2
0.69027,0.034531,2
0.48344,0.057273,2
0.38913,0.14274,2
0.44491,0.072923,2
0.42272,0.11153,2
0.40357,0.093472,2
0.40185,0.0021638,2
0.36239,0.093965,2
0.5269,-0.069419,2
0.5453,-0.043193,2
0.59676,0.10284,2
0.46807,0.0011851,2
0.6509,0.073527,2
0.43106,0.049361,2
0.63093,0.096719,2
0.56461,-0.075161,2
0.56547,-0.013122,2
0.36982,0.038132,2
0.48892,0.17837,2
0.45382,0.1866,2
0.56964,0.12081,2
0.67622,0.1001,2
0.55242,0.16018,2
0.46324,0.063539,2
0.43951,0.1632,2
0.43237,-0.030934,2
0.48425,0.07162,2
0.44935,0.16489,2
0.46538,0.18366,2
0.51958,-0.072978,2
0.40313,0.090356,2
0.568,-0.066039,2
0.49169,0.11768,2
0.61976,-0.018566,2
0.63224,0.081652,2
0.51371,0.14159,2
0.46647,0.19209,2
0.45819,0.034324,2
0.44958,-0.10279,2
0.54757,0.098583,2
0.44288,0.22569,2
0.38284,-0.074505,2
0.57889,0.25685,2
0.41904,0.016734,2
0.44858,0.084471,2
